date(yyyymmdd),hour,minute,5-min dir,5-min speed
20190127,21,50,357, 18.36
20190228,24,60,162,  5.10
20190301, 1, 5,160,  5.10
20190301, 1,10,164,  5.10
20190301, 1,15,152,  4.59
20190301, 1,20,154,  4.08
20190301, 1,25,148,  3.06
20190301, 1,30,138,  2.55
20190301, 1,35,153,  2.55
20190301, 1,40,157,  3.57
20190301, 1,45,174,  4.08
20190301, 1,50,166,  4.59
20190301, 1,55,166,  4.59
20190301, 1,60,168,  3.57
20190301, 2, 5,182,  3.06
20190301, 2,10,182,  3.57
20190301, 2,15,199,  2.55
20190301, 2,30,211,  2.55
20190301, 2,35,256,  1.53
20190301, 2,40,257,  1.53
20190301, 2,45,248,  2.55
20190301, 2,50,257,  3.57
20190301, 2,55,257,  4.59
20190301, 2,60,263,  4.59
20190301, 3, 5,266,  4.08
20190301, 3,10,270,  4.59
20190301, 3,15,272,  5.10
20190301, 3,20,272,  4.59
20190301, 3,25,271,  5.10
20190301, 3,30,283,  5.10
20190301, 3,35,278,  5.61
20190301, 3,40,274,  5.61
20190301, 3,45,271,  6.12
20190301, 3,50,268,  5.61
20190301, 3,55,274,  5.61
20190301, 3,60,271,  5.61
20190301, 4, 5,268,  5.61
20190301, 4,10,268,  6.12
20190301, 4,15,269,  5.61
20190301, 4,20,266,  5.10
20190301, 4,25,281,  5.10
20190301, 4,30,277,  6.12
20190301, 4,35,279,  6.12
20190301, 4,40,274,  5.61
20190301, 4,45,274,  5.61
20190301, 4,50,269,  5.10
20190301, 4,55,266,  5.61
20190301, 4,60,266,  5.10
20190301, 5, 5,270,  4.59
20190301, 5,10,268,  5.10
20190301, 5,15,274,  5.10
20190301, 5,20,270,  5.10
20190301, 5,25,268,  4.59
20190301, 5,30,271,  4.59
20190301, 5,35,268,  4.59
20190301, 5,40,262,  5.10
20190301, 5,45,262,  4.59
20190301, 5,50,273,  4.59
20190301, 5,55,274,  5.61
20190301, 5,60,272,  5.10
20190301, 6, 5,273,  4.59
20190301, 6,10,266,  5.10
20190301, 6,15,281,  5.61
20190301, 6,20,273,  6.12
20190301, 6,25,267,  6.12
20190301, 6,30,284,  6.12
20190301, 6,35,269,  5.10
20190301, 6,40,271,  5.10
20190301, 6,45,266,  5.61
20190301, 6,50,274,  5.10
20190301, 6,55,267,  4.59
20190301, 6,60,268,  4.59
20190301, 7, 5,266,  5.10
20190301, 7,10,283,  4.59
20190301, 7,15,276,  5.10
20190301, 7,20,278,  4.59
20190301, 7,25,280,  4.59
20190301, 7,30,267,  5.10
