date(yyyymmdd),hour,minute,calm flag,1-min dir,1-min dir10,1-min speed,1-min speed_1,obs. dir,obs. speed,dirdiff,speeddiff,wind flag,qc flag
    20190101, 1,53,0,   334.0,   330.0,     4.1,     4.1,   330.0,     4.1,     0.0,     0.0,N,5
    20190101, 3,53,0,   350.0,   350.0,     4.1,     4.1,   350.0,     4.1,     0.0,     0.0,N,5
    20190101, 5,48,0,   358.0,   360.0,     3.1,     3.1,   360.0,     3.1,     0.0,     0.0,N,5
    20190101, 6, 5,0,   355.0,   360.0,     3.1,     3.1,   360.0,     3.1,     0.0,     0.0,N,5
    20190101, 6,51,0,   357.0,   360.0,     3.1,     3.1,   360.0,     3.1,     0.0,     0.0,N,5
    20190101, 7,35,0,    11.0,    10.0,     2.0,     2.0,    10.0,     2.1,     0.0,     0.1,N,5
    20190101, 8,53,0,    16.0,    20.0,     1.5,     1.5,    20.0,     1.5,     0.0,     0.0,N,5
    20190101,10,53,0,   174.0,   170.0,     3.1,     3.1,   170.0,     3.1,     0.0,     0.0,N,5
    20190101,12,53,0,   188.0,   190.0,     3.6,     3.6,   190.0,     3.6,     0.0,     0.0,N,5
    20190101,14,53,0,   166.0,   170.0,     2.5,     2.6,   170.0,     2.6,     0.0,     0.0,N,5
    20190101,15,38,0,   157.0,   160.0,     2.0,     2.0,   160.0,     2.1,     0.0,     0.1,N,5
    20190101,16,53,0,   194.0,   190.0,     1.5,     1.5,   190.0,     1.5,     0.0,     0.0,N,5
    20190101,18,53,0,   216.0,   220.0,     1.5,     1.5,   220.0,     1.5,     0.0,     0.0,N,5
    20190101,20,53,0,   278.0,   280.0,     3.6,     3.6,   280.0,     3.6,     0.0,     0.0,N,5
    20190101,22,53,0,   252.0,   250.0,     6.6,     6.6,   250.0,     6.7,     0.0,     0.1,N,5
    20190101,24,53,0,   253.0,   250.0,     8.7,     8.7,   250.0,     8.8,     0.0,     0.1,N,5
    20190102, 1,53,0,   250.0,   250.0,     7.6,     7.7,   250.0,     7.7,     0.0,     0.0,N,5
    20190102, 3,53,0,   265.0,   270.0,     8.2,     8.2,   270.0,     8.2,     0.0,     0.0,N,5
    20190102, 5,53,0,   259.0,   260.0,     7.6,     7.7,   260.0,     7.7,     0.0,     0.0,N,5
    20190102, 7,53,0,   261.0,   260.0,     6.6,     6.6,   260.0,     6.7,     0.0,     0.1,N,5
    20190102, 9,53,0,   274.0,   270.0,     7.1,     7.1,   270.0,     7.2,     0.0,     0.1,N,5
    20190102,11,53,0,   274.0,   270.0,     8.2,     8.2,   270.0,     8.2,     0.0,     0.0,N,5
    20190102,13,53,0,   262.0,   260.0,     6.1,     6.1,   260.0,     6.2,     0.0,     0.1,N,5
    20190102,15,53,0,   288.0,   290.0,     5.1,     5.1,   290.0,     5.1,     0.0,     0.0,N,5
    20190102,17,53,0,   275.0,   280.0,     4.6,     4.6,   280.0,     4.6,     0.0,     0.0,N,5
    20190102,19,53,0,   227.0,   230.0,     3.1,     3.1,   230.0,     3.1,     0.0,     0.0,N,5
    20190102,21,53,0,   319.0,   320.0,     3.6,     3.6,   320.0,     3.6,     0.0,     0.0,N,5
    20190102,23,53,0,   271.0,   270.0,     4.1,     4.1,   270.0,     4.1,     0.0,     0.0,N,5
    20190102,24,59,0,   256.0,   260.0,     5.6,     5.6,   999.0,   999.9,  -999.0,  -999.0,9,9
    20190103, 2,53,0,   259.0,   260.0,     4.6,     4.6,   260.0,     4.6,     0.0,     0.0,N,5
    20190103, 4,53,0,   261.0,   260.0,     6.1,     6.1,   260.0,     6.2,     0.0,     0.1,N,5
    20190103, 6,53,0,   246.0,   250.0,     5.6,     5.6,   250.0,     5.7,     0.0,     0.1,N,5
    20190103, 8,53,0,   226.0,   230.0,     5.1,     5.1,   230.0,     5.1,     0.0,     0.0,N,5
    20190103,10,53,0,   250.0,   250.0,     7.6,     7.7,   250.0,     7.7,     0.0,     0.0,N,5
    20190103,12,53,0,   254.0,   250.0,     5.1,     5.1,   250.0,     5.1,     0.0,     0.0,N,5
    20190103,14,53,0,   274.0,   270.0,     5.1,     5.1,   270.0,     5.1,     0.0,     0.0,N,5
    20190103,16,53,0,   265.0,   270.0,     3.6,     3.6,   270.0,     3.6,     0.0,     0.0,N,5
    20190103,18,53,0,   268.0,   270.0,     4.1,     4.1,   270.0,     4.1,     0.0,     0.0,N,5
    20190103,20,53,0,   308.0,   310.0,     4.1,     4.1,   310.0,     4.1,     0.0,     0.0,N,5
    20190103,22,53,0,   258.0,   260.0,     3.6,     3.6,   260.0,     3.6,     0.0,     0.0,N,5
    20190103,24,53,0,   219.0,   220.0,     4.1,     4.1,   220.0,     4.1,     0.0,     0.0,N,5
    20190104, 1,53,0,   222.0,   220.0,     5.1,     5.1,   220.0,     5.1,     0.0,     0.0,N,5
    20190104, 3,53,0,   234.0,   230.0,     4.1,     4.1,   230.0,     4.1,     0.0,     0.0,N,5
    20190104, 5,53,0,   286.0,   290.0,     5.6,     5.6,   290.0,     5.7,     0.0,     0.1,N,5
    20190104, 7,53,0,   267.0,   270.0,     5.6,     5.6,   270.0,     5.7,     0.0,     0.1,N,5
    20190104, 9,53,0,   266.0,   270.0,     5.6,     5.6,   270.0,     5.7,     0.0,     0.1,N,5
    20190104,11,53,0,   270.0,   270.0,     5.1,     5.1,   270.0,     5.1,     0.0,     0.0,N,5
    20190104,13,53,0,   305.0,   310.0,     5.1,     5.1,   310.0,     5.1,     0.0,     0.0,N,5
    20190104,15,53,0,   237.0,   240.0,     3.1,     3.1,   240.0,     3.1,     0.0,     0.0,N,5
    20190104,17,53,0,   210.0,   210.0,     2.5,     2.6,   210.0,     2.6,     0.0,     0.0,N,5
    20190104,19,53,0,   180.0,   180.0,     2.0,     2.0,   180.0,     2.1,     0.0,     0.1,N,5
    20190104,21,53,0,   196.0,   200.0,     5.1,     5.1,   200.0,     5.1,     0.0,     0.0,N,5
    20190104,23,53,0,   202.0,   200.0,     4.1,     4.1,   200.0,     4.1,     0.0,     0.0,N,5
    20190104,24,59,0,   203.0,   200.0,     6.1,     6.1,   999.0,   999.9,  -999.0,  -999.0,9,9
    20190105, 2,53,0,   229.0,   230.0,     6.6,     6.6,   230.0,     6.7,     0.0,     0.1,N,5
    20190105, 4,53,0,   267.0,   270.0,     5.6,     5.6,   270.0,     5.7,     0.0,     0.1,N,5
    20190105, 6,53,0,   276.0,   280.0,     6.1,     6.1,   280.0,     6.2,     0.0,     0.1,N,5
    20190105, 8,53,0,   274.0,   270.0,     5.6,     5.6,   270.0,     5.7,     0.0,     0.1,N,5
    20190105,10,53,0,   283.0,   280.0,     5.1,     5.1,   280.0,     5.1,     0.0,     0.0,N,5
    20190105,12,53,0,    64.0,    60.0,     5.1,     5.1,    60.0,     5.1,     0.0,     0.0,N,5
