  
    ************ Error Message List *************
  
    PW     --- Pathway                           
    Code   --- Error Type + Error Code           
    L#     --- The Line Number Where Error Occurs
    ModNam --- Module Name In Which Error Occurs 
    Hints  --- Hints For The Possible Solution   
    *********************************************
  
PW CODE    L#      MODNAM                       ERROR MESSAGES                      HINTS
-- ---- ------- ------------- -------------------------------------------------- ------------
  
CO W207       6       ERRFIL: No Parameters Specified. Default Values Will Used.     ERRORFIL
MX I460     153  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030709
MX I460     154  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030710
MX I460     155  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030711
MX I460     156  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030712
MX I460     157  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030713
MX I460     158  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030714
MX I460     159  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030715
MX I460     160  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030716
MX I460     161  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030717
MX I460     162  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019030718
MX I460     225  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031009
MX I460     226  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031010
MX I460     227  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031011
MX I460     228  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031012
MX I460     229  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031013
MX I460     230  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031014
MX I460     231  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031015
MX I460     232  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031016
MX I460     233  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031017
MX I460     234  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031018
MX I460     315  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031403
MX I460     316  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2019031404
